,name,price,location,offerer,id,description,year,manufacturer,model,category,length,fuel_type,hull_material,hull_shape,country
1175,2005 Beneteau Oceanis 343 Clipper 3 Cabins2005 Beneteau Oceanis 343 Clipper 3 Cabins,89000.0,"mugla, türkei",Storm Yachting,8416727,Make: Bénéteau Model: Oceanis 343 Clipper 3 Cabins Year: 2005Mehr anzeigen,2005,Beneteau,Oceanis 343 Clipper 3 Cabins,Daysailers,10.82,diesel,GFK / fiberglas / polyester,,turkey
1176,1988 Gib'Sea Gib Sea 3721988 Gib'Sea Gib Sea 372,54900.0,"cannes, alpes-maritimes ( 06 )",XBOAT,8485639,"1988 GIBERT MARINE GIB SEA 372,
XBOAT ref 1227. in 2014 removal of the mast to replace the electric cables and lights Change of the standing rigging. Replacement of the genoa furler. 2 solar panels 3 Victron AGM batteries in 2021 Victron converter 700 watts, VHF RT 650. Searchlight, lifeline, anchor chain replaced. Anchor spade excellent hold. Awlgrip hull paint redone. Anti-slip and deck paint redone. Porthole windows changed. The two deck covers changed in 2020. 220v cables and sockets installed 2020. WC 2020 Complete high-end fittings. Sheets replaced. ST 4000 autopilot with wind function. Tacktic wireless sounder and anemometer Tiller tiller pilot. Annex aluminum bottom 2021 TV antenna, Davit yes on gantry, Solar panels 2X 130 watts, Boom replaced, AIS with screen. Yanmar 3GM30 engine.... 27 HP. consumption less than 2L/hour. Kiwiprop propellers with curtain setting of the 3 blades. Excellent performance.

 More information and photos on the site xboat.frMehr anzeigen",1988,Gib'Sea,Gib Sea 372,Daysailers,10.81,diesel,other,,afghanistan
1177,2001 Bavaria 34 -32001 Bavaria 34 -3,57000.0,"in verkoophaven, niederlande",Lemmer Nautic Jachtmakelaardij,8459048,"Bavaria 34 with 3 cabins and shallow keel!


Bavaria 34-3 in neat condition. This version has 3 cabins, front toilet and a shallow keel. Because of the 3 cabins you have 6 permanent berths on board. Because of the shallow keel of 1.35 m you have a large sailing area.
Ready to go for a holiday or wonderful late summer.


Accommodation
Other:
A number of things have been renewed in recent years: From 2015 > - Sprayhood - Cockpit tent - Mattresses - Steering wheel leather - Cover over steering column
2019:  - Saildrive flange - Water pump - Alternator - Clutch plates - Inverter - Refrigerator - Genoa - Compass  2020 - 2021
- Stays(cs-rigging, invoice available) - Toilet - Oven - Screw - Rudder suspension - Wind generator - Led lamps - Gas pipes - Antifouling | 2021 & 2022
more anzeigen",2001,Bavaria,34 -3,Slup Boote,10.8,diesel,other,other,netherlands
1178,2001 Bavaria 34-22001 Bavaria 34-2,49900.0,"in verkoophaven, niederlande",Jachtmakelaardij Kappers,8501830,"This nice sailing yacht is a smooth boat with which you can sail wonderfully and make long trips throughout the Netherlands.


This smooth sailing boat with a spacious interior can give you a lot of sailing pleasure while sailing, but also when you are anchored or at the quay. The yacht is fully equipped, such as a refrigerator, wet room with shower facilities and a very warm and well-kept salon in which you can relax on the good couch and possibly with the stove on. Enjoy for the real water sports enthusiast!


General
Air draft normal: Mast without antennas
Other:
Hull number November 2000, delivery February 2001.

Accommodation
Material, colours: New upholstery in 2020
Sleeping places: You can also sleep on the saloon sofas.

Engine, electrics, water
Solar panel: New in 2021
Hot water: 30 liter boiler
Water tank & material: 2 tanks, 1x polyester, 1x plastic
Temperature gauge: Acoustic alarm

Rigging
Genoa: From 2017
Other:
The rigging and mainsail are still original

Navigation and electronics
Other:
VHF and radar do not function. The radio may be serviceable.

Equipment
Anchor windlass: No windlass

Safety
Gas canister with drain: Gas hose has been inspected until 2029.


Interior type: Classic, warm. New upholstery in 2020

Upholstery colour: BlueMehr anzeigen",2001,Bavaria,34-2,Slup Boote,10.8,diesel,other,other,netherlands
1179,1984 Beneteau First Class 101984 Beneteau First Class 10,18500.0,"cannes, alpes-maritimes ( 06 )",XBOAT,8485530,"1984 BENETEAU FIRST CLASS 10,
XBOAT ref 5356.BENETEAU- FIRST CLASS 10- Racing-cruising sailboat- year: 1984- overall length: 10.80 m- hull length: 10.45 m- beam: 2.98 m- draft: 1.80 m- light weight: 2500 KG- tiller with stick

SAILS:- Dacron reinforced battened mainsail (recent - good condition)- ""Carbon"" battened mainsail (good used condition)- staysail on carabiner (good condition)- jib on carabiner (good condition)- 1 heavy spinnaker (very good condition 88 m2)- 1 light spinnaker (good condition 88m2)- 2 backstays- 1 sprayhood (good condition)

ENGINE:- YANMAR- inboard- 2GM20 model- shaft line- 18 hp power- 1059 hours of use

ELECTRONICS / NAVIGATION:- RAYMARINE hydraulic autopilot- depth sounder, speed with RAYMARINE repeater- ADVANSEA S400 anemometer- VESPER MARINE AIS plotter (transmitter/receiver)- VHF RO 6700 N2K- ICOM portable VHF- MP4 radio with touch screen 7012B

ENERGY/ELECTRICITY:- battery charger- fleet of 3 batteries (replaced in 2022)- 2 X 75 AH- 1 X 120 AH- shore power installed in 2022- electrical panel (2022)- 12V sockets- XANTREX manager- 2 panels solar (2022)

SAFETY:- SEA SAFE 6-seater offshore liferaft (new 2022)- EPIRB Ocean Signal beacon

Additional information and visits on request. More information and photos on the site xboat.frMehr anzeigen",1984,Beneteau,First Class 10,Daysailers,10.8,diesel,other,,afghanistan
1180,1968 Boudignon KETCH CLASSIQUE FLAMANT 111968 Boudignon KETCH CLASSIQUE FLAMANT 11,65000.0,"cannes, alpes-maritimes ( 06 )",XBOAT,8515361,"1968 FLAMINGO 11 CLASSIC KETCH BOUDIGNON,
XBOAT ref 5383. Classic boat classified as a Boat of Heritage Interest (BIP), in good condition and maintenance. The original wooden mast was replaced in 2013 / 2014 by an aluminum mast. Standing rigging replaced in 2013 / 2014. Running rigging replaced in 2016. Mobile solar panel.

1 DSC VHF + 1 portable VHF + AIS More information and photos on the site xboat.frMehr anzeigen",1968,Boudignon,KETCH CLASSIQUE FLAMANT 11,Klassische Segelboote,10.8,diesel,other,,afghanistan
1181,1968 Boudignon KETCH CLASSIQUE FLAMANT 111968 Boudignon KETCH CLASSIQUE FLAMANT 11,65000.0,"cannes, alpes-maritimes ( 06 )",XBOAT,8517635,"1968 FLAMINGO 11 CLASSIC KETCH BOUDIGNON,
XBOAT ref 5383. Classic boat classified as a Boat of Heritage Interest (BIP), in good condition and maintenance. The original wooden mast was replaced in 2013 / 2014 by an aluminum mast. Standing rigging replaced in 2013 / 2014. Running rigging replaced in 2016. Mobile solar panel.

1 DSC VHF + 1 portable VHF + AIS More information and photos on the site xboat.frMehr anzeigen",1968,Boudignon,KETCH CLASSIQUE FLAMANT 11,Klassische Segelboote,10.8,diesel,other,,afghanistan
1182,2004 Comfortina 352004 Comfortina 35,117500.0,"prins van oranje, de stienplaat 1, 8754 he makkum, niederlande",eSailing,8500209,"Yacht broker for this ship is Dick Schmeinck 088 2502502


Comfortina 35 Scandinavian quality yacht in excellent condition and with many extras. The yacht is one of the Swedish Comfortina Yachts yard and the design by Thomas Bern is built to a high standard. Unique to each Comfortina is the combination of the balanced design, the realized build quality and the refined sailing characteristics. Below decks, these yachts are finished with beautiful teak. This yacht was built in 2004 and launched in 2005. The yacht has been in the possession of the 2nd owner since 2020 and has always been a demo yacht. It has been sailed little and the yacht has had an antifouling in 2022. In short: well maintained yacht and ready to go!
General: Milon, length 10.80 m, width 3.35 m, depth 1.85 m, year of construction 2004, in service 2005, construction number SE-COM 35219 E 405, builder hull and finishing Comfort Batar Sweden, designer Thomas Bern, round bilge , short keel, building material lead, material cabin construction  polyester, deck design: walking deck teak, displacement 5800 kg, ballast lead 2800 kg., steering wheel,  6 berths (4 fixed/2 extra), bed length in front and along bench 2.00 m. and aft 1.95 m., 2 cabins, headroom in saloon 1.95 m., chart table, anchor stainless steel (Bruce), anchor line 30 m., bathing ladder, interior teak, material windows tempered glass in aluminum, sprayhood new, cockpit tent, 2 x fire extinguishers , 1x lifebuoy and bilge pump manual and electric.
Engine: Yanmar 3GM 30, 30 HP, construction number EO 2327, year of construction 2005, stainless steel diesel tank, 3 liters per hour, hour meter, fuel level meter, indirect cooling, sail drive transmission, saildrive sleeve replaced (2016), 2 blade folding propeller (Brows).
Rigging: Rigging type 7/8, material mast aluminum, mainsail Dacron, reefing installation furling jib, Genoa (no. 2 hardly used), High Aspect (new 2020), storm jib (never used), spinnaker, material rigging stainless steel std., 4 winches (all self-tailing), carbon SPI boom (2x ST 28, 2x ST 46), radar reflector in mast, backstays (Dyneema/Spectra ball bearing blocks (2015), backstay Spectra/Dyneema (2015), 2x 6 stoppers instead of 5x incidents, double Reversing blocks for SPI and jib sheet with stoppers ball bearings, Dutchman system, roller jib cover 2018.
Navigation and equipment: Batteries: 1x start, 2x light (2021/2 x 80 ah),  12V, shore power 220 V, inverter 220 V, battery charger, ammeter, compass, depth sounder/log/windset (SILVA), gps, chartplotter and VHF functioning, outdoor speaker, radio/cd, autopilot on quadrant + remote control, navigation lighting (LED) except deck light (deck light can also be operated from the cockpit).
Gas and water: Stainless steel water tanks 18 liters, electric water pressure system, hot water by means of a. boiler + foot, manual toilet, indoor shower, outdoor shower, stainless steel 70 liter waste water tank, cool box, freezer compartment, 2 burner gas stove, gas oven, gas bun with drain, diesel heating (Webasto).
Disclaimer: Information is provided to the best of our knowledge, however eSailing is not liable for the quality and/or description of the vessel.Mehr anzeigen",2004,Comfortina,35,Slup Boote,10.8,,other,,netherlands
1183,1983 J Boats J/351983 J Boats J/35,39900.0,"muiderzand nl, niederlande",White Whale Yachtbrokers,7957439,"Nice cruiser/racer to sail this season. Very good sailor with sleeping place for 6. Equipped with many recent updates.


Well maintained cruiser/racer from J/boats ready for this season.
Extensively refitted since 2016 and equipped with 6 berths, this ship can be sailed away immediately.
This 1983 sailing yacht is still recognized today for its fantastic sailing characteristics and will easily be at the front in the competition fields and beyond.
This example has been completely refitted and checked since 2016, during which time and later many improvements were made to, among other things, the rigging. Think of an improved deck layout with associated blocks (Spinlock) where all lines can be operated from the cockpit, new backstays (Dynema), new winches (Harken), overhauled hydraulic backstay, Rod rigging (2020) and new Quantum sailing (main 2016, jib 2020).
The electrical system was also completely renewed in 2016, using only LED lighting and the most modern navigation equipment from B & G, Raymarine and Icom. This equipment is easy to operate both from the cockpit and from the chart table.
Due to the wide hull shape, this ship offers a nice, light open space in the cabin. With 6 fixed berths, 4 in the rear and 2 in the forepeak, this offers space for the whole family or a group of friends. A small kitchen on the port side, two long benches and a fold-out table invite you to go out with this ship for a weekend, week or longer.
Are you looking for a spacious cruiser/racer from a renowned shipbuilder that can be sailed away immediately? Please contact White Whale Yachtbrokers Willemstad: oscar@wwy.nl or call +31631901231




Rigging
Winches: Harken
Breeding: Quantum
more anzeigen",1983,J Boats,J/35,Slup Boote,10.8,diesel,other,other,netherlands
1185,1977 Jeremy Rogers GB CONTESSA 351977 Jeremy Rogers GB CONTESSA 35,66000.0,"cannes, alpes-maritimes ( 06 )",XBOAT,8485631,"1977 JEREMY ROGERS GB CONTESSA 35,
XBOAT ref 1707.CUSTOM SPECIFICATIONS TYPE SCANCHANTIERS J ROGERSG.BLE PERFECT RACE / CRUISE: 200 MILES/DAY IN ATLANTIC, WINNER S.N.I.M IN 81 AND 82COMPLETE REFIT AND RECENTPLACE OF PORT COSTA BRAVA 250 €/MONTH.FREE CONVOYAGE MED.BOOK WITH 5 CRUISING SAILS (15 OFFSHORE RACING SAILS OPTIONAL) More information and photos on the site xboat.frMehr anzeigen",1977,Jeremy Rogers GB,CONTESSA 35,Daysailers,10.8,diesel,other,,afghanistan
1186,1981 Larsmo Marin Avance 36 -VERKAUFT-1981 Larsmo Marin Avance 36 -VERKAUFT-,38000.0,"großenbrode, deutschland",Nordic Yachting e.K.,8416234,"With the Avance 36, Peter Norlin has created a classic with timeless lines and the best sailing characteristics. At the same time, it is spacious, so that five people can comfortably go on longer trips. Extensive investments in recent years: Volvo Penta D1-30 new in 2018, service hatch in engine wall to simplify maintenance and engine compartment insulated, diesel hot air heating new in 2017, underwater hull newly overhauled in 2016 (keel coated with Hansa zinc, surface sanded, twice Epoxy primer coated, hull stripped and rebuilt), electric anchor winch new in 2016, two additional hatches on the cabin roof, B&G chart plotter, Tacktick instruments, drinking water system new in 2016 including hot water boiler, drinking water pump, water tank, mixing valves, drinking water hoses, water filler neck, surge tank and Fine filter, cabin floor sanded and oiled, starter battery renewed, seawater pump toilet and holding tank system renewed, spray hood with gripper renewed. All work carried out by the shipyard and verifiable by means of documents, always stored indoors in winter. Arrange a viewing appointment, we look forward to your visit! -The sale takes place in the mediation order.-Show more",1981,Larsmo Marin,Avance 36 -VERKAUFT-,Daysailers,10.8,diesel,GFK / fiberglas / polyester,,germany
1187,1980 Shogun 10801980 Shogun 1080,7000.0,"meppel (nl), niederlande",Bootveiling.com,8510309,"A Shogun Sailing Yacht Online Auction. Anyone can easily bid until October 31, 2022 on the Bootveiling website.


A Shogun sailing yacht that needs to be refurbished by the lovers. The boat has had several owners. The boat has not sailed in the last year and before that it was stationary for several years. The starter motor and battery were replaced this year. The engine was then started, but that was short-lived. He is currently not employed.
The Shogun was built by Linjett Yachts and the Rosättra yard, where three generations of accomplished boat builders work at a yard that has been building yachts since 1886. Located just an hour and a half from Stockholm, the team and yard have brought their experience and craftsmanship into Shogun Yachts and created a partnership and passion that led to this sailing yacht.
Extra information

Known defects: water leakage in the wall of the center space. Engine no longer starts. Several meters broken, electrical cables not 100 percent. Wood outside weathered.
Bootveiling is an independent specialized boat auction house. Our boats are sold under the auction conditions.
more anzeigen",1980,Shogun,1080,Slup Boote,10.8,diesel,other,,netherlands
1188,2022 Dufour 37 Liegeplatz optional in der Baltic Bay erhältlich2022 Dufour 37 Liegeplatz optional in der Baltic Bay erhältlich,248000.0,"laboe bei kiel, deutschland",Schiffswerft Laboe GmbH & Co. KG,8459550,"We offer you a new DUFOUR 37. New boat in advance, available from Jan 2023, model 2023 A berth in the beautiful BALTIC BAY Laboe can be offered as an option. The yacht has, among other things: -2 cabins version with a wet cell -More powerful Volvo Penta 30 hp engine -Interior: Boston Ambiance -Performance sails -Preparation for Code 0 -Comfort package -Electric windlass -Outdoor kitchen with gas grill and sink -220 volts with shore connection, sockets in the cabins and saloon -Compressor fridge -2 burner gas stove/oven -Lazy-bag beige + lazy-jacks -Raymarine plotter -Log/Lot/Wind Raymarine i70s multidisplay -Autopilot -Radio Ray53 -Side railing access - Electric toilet -Composite steering wheels -Uvm... On request we will be happy to send you the entire equipment list of this Dufour 390. The price includes 19% VAT, completely ready to sail in the water plus primer and antifouling paint, delivery in Laboe. Contact person: Nils Thomsen Schiffswerft Laboe GmbH Co. KG Boern 17 24235 Laboe Telephone: 0 4343 4211-48 www.schiffswerftlaboe.de The images shown are example imagesShow more",2022,Dufour,37 Liegeplatz optional in der Baltic Bay erhältlich,Daysailers,10.77,diesel,GFK / fiberglas / polyester,,germany
1189,1976 Nordia 35 Van Dam1976 Nordia 35 Van Dam,39500.0,"muiden, niederlande",Zuiderzee Jachtmakelaars,8460847,"Eye-catching classic in unique condition - engine 100 hours after overhaul - standing height 190 cm - ready to sail


The Nordia 35 is a real Dutch classic, built to a high standard by Van Dam. This beautiful sailing yacht is visibly lovingly maintained and is in unique condition. Hull, superstructure and interior still look like new. The engine was recently overhauled by a specialized company and has only run for 100 hours since then. Thanks to the semi s-frame, this sailing yacht has very quiet and stable sailing characteristics and, thanks to the shallow draft, is also very suitable for the Frisian lakes. Inside, the yacht is spacious and offers headroom up to 190 cm!




General
Ballast: lead in polyester

Accommodation
Material, colours: upholstery 2016

Engine, electrics, water
Operating hours: after extensive revision (invoice available)

Rigging
Genoa: 2 x
Jib: high aspect as good as new

Equipment
Tarpaulin(s): + winter cover
more anzeigen",1976,Nordia,35 Van Dam,Slup Boote,10.77,diesel,other,Halbgleiter,netherlands
1190,1967 Västeras Hardplast Tillberga Bacchant IV1967 Västeras Hardplast Tillberga Bacchant IV,49500.0,"lemmer, niederlande",Nordic Yachting e.K.,8416236,"Ocean-going Bacchant IV by Knud Reimers in the shipyard-maintained lover's condition and with the best equipment. Family-owned since 1998, trips to England, Helgoland, Sweden, Denmark, only used privately AWLGRIP paint completely new in 2018 (hull, water line, antifouling, deck, structure, wood), total cost 35,000 euros. Layout: Foredeck with two berths with filler piece between the berths Large deck hatch in the foredeck Mahogany weaving in all berths Saloon sofa to starboard and port, above starboard sofa Schapps, behind port Can be folded down on both sides Dog bunk with chart table Wall cupboard Large storage space Lighting in LED and kerosene EBERSPÄCHER diesel hot air heating new in 2010 PERKINS 30 HP new in 1996, approx. 2,100 hours, always maintained by a specialist Gori folding propeller Diesel tank 100l in stainless steel Stainless steel plus day tank 10 l Mainsail new in 2010 with lazy jacks, furling jib new in 2010, HARKEN fore furling system new in 1998, blister, approx. 60 sqm, spinnaker, spinnaker pole, HARKEN Traveler new in 1998, 4 winches stainless steel bow anchor 15kg, LOFRANS electric anchor winch new in 1998, 40m/8mm stainless steel -Anchor chain Second anchor: Galvanized, 15 kg Sprayhood tarpaulin over half the ship Sailing clothes for main and jib moto Instruments in cockpit Compass Wind: AUTOHELM ST 50 in cockpit new in 1998 Speed: AUTOHELM ST 50 in cockpit new in 1998 Depth: AUTOHELM ST 50 in cockpit new in 1998 Combi: AUTOHLEM ST 50 multi-instrument at chart table new in 1998 VHF -Marine radio: ICOM Marine IC-M59 Euro at the chart table new in 1998 chart plotter: GARMIN GPSMAP 922, 9 inch new in 2017 AGM consumer battery 130 ampere new in 2017, starter battery 60 ampere new in 2011 shore power connection LOPOLIGHT 3-colored top lantern incl. anchor light navigation lighting for Motor drive RHEINSTROM electric and manual bilge pumps Cockpit floor and benches with teak deck new in 1998 Wheel steering 3 lockers with 8 fenders and 6 mooring lines Gas box aft peak life raft, life sling and life ring Bow and pushpit in stainless steel, sea railing with double trains 6 mooring cleats Bathing ladder Two-burner gas stove with oven Stainless steel sink with pressurized water Fresh water tanks 2 x 60 l in stainless steel cupboards Cool box approx. 4 0 l new in 2015 Pött and Pann for 6 people JABSCO Light-Flush electric toilet new in 2014 black water tank approx. 50 l sink with pressurized water cabinet Always stored in the heated hall in winter. We are looking forward to your visit! -The sale takes place in the mediation order.-Show more",1967,Västeras Hardplast Tillberga,Bacchant IV,Daysailers,10.76,diesel,GFK / fiberglas / polyester,,netherlands
1191,1982 Beneteau First 351982 Beneteau First 35,32000.0,"salonicco, griechenland",T.Y.Broker Srls,8333623,-Show more,1982,Beneteau,First 35,Klassische Segelboote,10.75,diesel,GFK / fiberglas / polyester,,greece
1192,2006 Jeanneau Sun Fast 352006 Jeanneau Sun Fast 35,69000.0,"cannes, alpes-maritimes ( 06 )",XBOAT,8485564,"2006 JEANNEAU SUN FAST 35,
XBOAT ref 5320.Elected boat of the year at the Oslo Boat Show, European sailboat of the year 2005, the SUN FAST 35 is a beautiful sailboat, fast and comfortable.

This 3 cabin model, 2nd hand, from 2006 is in perfect sailing condition. Up-to-date semi-offshore equipment (8-seater raft from 2018, 8 x automatic vests). NKE electronics + on-board computer and MaxSea Time Zero software. VHF NAVMAN , AIS transceiver, NAVTEX.New mainsail and genoa + furler 2018.New hood and lazy bag.Standing rigging 2020.Hydrogommage of the hull 2020.New service batteries (2 x 12V 105 Ah C20). Recent engine battery. Flexible solar panel on the roof. New toilets June 2022.

The boat is ready to sail. Fairing and engine maintenance 2022 OK. More details, invoices and visit on request. More information and photos on the site xboat.frMehr anzeigen",2006,Jeanneau,Sun Fast 35,Daysailers,10.75,diesel,other,,afghanistan
1193,1971 Trintella III1971 Trintella III,52500.0,"contact de valk monnickendam, niederlande",De Valk Group B.V,8479692,"Model: TRINTELLA III Type: sailing yacht LOA (m): 10,74 LWL (m): 8,60 Beam (m): 3,20 Draft (m): 1,40 Air draft (m): 14,50 Headroom (m): 1,85 Year built: 1971 Builder: Anne Wever NV, 's Hertogenbosch Country: The Netherlands Designer: E.G. van de Stadt Displacement (t): 7,5 Ballast (tonnes): 3 cast iron CE norm: NA Hull material: GRP Hull colour: white Hull shape: S-bilged Keel type: long keel Superstructure material: GRP Rubbing strake: stainless steel Deck material: sandwich GRP Deck finish: 1 cm average all around deck teak Superstructure deck finish: teak Cockpit deck finish: teak Antifouling (year): 2022 Dorades: yes Window frame: aluminium Window material: tempered glass Deckhatch: yes Fuel tank (litre): 800 (cleaned 01-2022) steel Level indicator (fuel tank): dipstick Freshwater tank (litre): 400 (cleaned & sterilzed 03-2022) polyethylene Level indicator (freshwater): dipstick Blackwater tank (litre): 100 Wheel steering: hydraulic Outside helm position: yes ""Eliza"", an all time classic by the famous Anne Wever/Trintella yard in The Netherlands. With her beautiful lines, safe and seaworthy and very comfortable to sail. Although pretty much still original, her interior is in very good condition. She has a large after cabin, cockpit and an abundance of stowage space, making her ideal for long distance cruising or leisure cruising on either the inland waterways as on sea. This yacht can be seen in our sales marina 7 days a week.
For more information: TRINTELLA III for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1971,Trintella,III,Slup Boote,10.74,diesel,other,,netherlands
1194,2022 Dufour 3602022 Dufour 360,174000.0,"golfe juan, alpes-maritimes ( 06 )",Seaways Yachting,8205618,"DUFOUR 360 NEW IN DELIVERY IN GOLFE JUAN.
SEAWAYS YACHTING - DUFOUR YACHTS DISTRIBUTOR FOR THE MARITIME ALPS.
POSSIBILITIES OF LEASING FINANCING, BERTH WITH OR WITHOUT RENTAL MANAGEMENT.
STANDARD EQUIPMENT
2 cabins 1 head, Automatic shower pump, Holding tank, L-shaped galley, Boston atmosphere, LED lighting, Rolling blinds for deck hatches, Fully battened mainsail + self-tacking furling jib, Second roof winch with returns and jammers, Automatic reefing points returning to the cockpit, Mainsail sheet on the coachroof, Starboard and port helm console instrument support pods, LED navigation lights, Delphinière, Wheel steering leather sheathing, Stainless steel swimming ladder, Service battery 75A/ h, Engine battery 75A/h, Water tank 220L, Fuel tank 160L.
COMFORT PACKAGE
2-burner stove / oven, Natural teak cockpit bench, Cockpit shower (cold/hot), 25A battery charger, 1 x additional 75A/h service battery, 20L water heater, 220V electrical circuit + shore power and 220V sockets in cabins and saloon, Front and rear roof windows, 700 W electric windlass with remote control, Cockpit table, Blinds with integrated mosquito net, Wooden wine cellar, Rigid vang, Beige lazy-bag + lazy-jacks, Support outboard motor, stern platform.
CRUISING ELECTRONIC PACK
Central loch speedo wind vane anemometer, I70 s display on port side, Raymarine Evolution autopilot with Lewmar rotary engine and P70s display, Ray53 ASN VHF, AXIOM 7 GPS at the cockpit table, cockpit VHF HP.
OPTIONS
VOLVO D1-30 29CV engine, Cockpit floor and aft platform top in solid natural teak wood Porthole opening onto cockpit in port aft cabin, Beige companionway sprayhood with handrail, Beige Bimini, Beige cockpit cushions, 2HP Radio CD player MP32 compatible, Waterproof loudspeakers in cockpit for radio/CD, 12v/220V 300W converter, Additional 160L fresh water tank.

Constantly looking to the future, Dufour designs each new model to give you pleasure and sensations in complete serenity, whatever your cruising plans and the use of your sailboat. For over 60 years, we have been designing and building innovative, high-performance sailboats.
Find out more: www.seaways-yachting.comMehr anzeigen",2022,Dufour,360,Segelyachten,10.73,diesel,GFK / fiberglas / polyester,,afghanistan
1195,1994 Tartan 35001994 Tartan 3500,93000.0,"contact de valk kiel, deutschland",De Valk Group B.V,8471676,"Model: TARTAN 3500 Type: sailing yacht LOA (m): 10,73 LWL (m): 9,14 Beam (m): 3,58 Draft (m): 1,47 Air draft (m): 16,15 Headroom (m): 2,00 Year built: 1994 Launched: 1994 Builder: Tartan Yachts Inc. Country: U.S.A. Designer: Tim Jacket Displacement (t): 6 Ballast (tonnes): 2,2 lead Gross tonnage: 6 CE norm: A Hull material: GRP Hull colour: off-white Keel type: wing keel Deck finish: non-skid moulded in Cockpit deck finish: teak Antifouling (year): 2021 Dorades: 2 Window frame: aluminium Window material: polycarbonate Deckhatch: yes Fuel tank (litre): 90 stainless steel Freshwater tank (litre): 2 x 115 Blackwater tank (litre): 40 GRP Wheel steering: yes Emergency tiller: yes More info on hull: 2021 Osmosis prophylaxis underwater hull, blasted, epoxy Extra info: the bearings for the rudder were changed to completely new beari Thirty-five feet is an ideal size for a family boat. What sets the Tartan 3500 apart from other midsized cruising boats is her unique combination of racing performance, appealing looks and a very nice variety of features that make life on the water more comfortable. The new engine was installed in 2019.
For more information: TARTAN 3500 for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1994,Tartan,3500,Slup Boote,10.73,diesel,other,,germany
1196,2008 Bavaria 34 Cruiser2008 Bavaria 34 Cruiser,79000.0,"breege, deutschland",MOLA Yachting GmbH,8273809,"Nautical equipment Nautical equipment Chart plotter Garmin echo sounder and log Raymarine wind meter Raymarine Windex compass Autopilot Raymarine chart plotter Garmin echo sounder and log Raymarine wind meter Raymarine windex Compass Autopilot Raymarine safety equipment Safety equipment Radar reflector First aid kit Emergency rudder Manual & electr. bilge pump fire extinguisher wheel steering radar reflector first aid kit emergency tiller manual & electr. bilgepump Extinguisher Wheel steering Equipment Outfitting Furling main furling genoa Furlex Volvo Penta D1-20 and Volvo sail-drive Plow anchor, galvanized Anchor line with anchor chain Mooring lines Fender shore power connection 220 volt sprayhood Teak in cockpit furling main sail furling genoa Furlex system Volvo Penta D1-20 and Volvo sail- drive plough anchor, zinc coated anchor rope with anchor chain mooring lines fender AC shore supply 230 volts Sprayhood Teak in cockpit Interior Gas stove with oven Hot water boiler Refrigerator cell Battery charger CD Radio with speakers Diesel heating 2 cabin version gas cooker with oven Hot water boiler refrigerator cell Battery charger CD radio with loudspeakers Diesel heater 2 cabin version Extras Add-on used boat guarantee Lt. Standard specification used boat guarantee as per standard specificationShow more",2008,Bavaria,34 Cruiser,Daysailers,10.71,,GFK / fiberglas / polyester,,germany
1197,2009 Bavaria Cruiser 352009 Bavaria Cruiser 35,86000.0,"erkrath (boot liegt in stavoren/nl), deutschland",Privater Verkäufer,8451172,"LxWxD 10.78m x 3.60m x 1.55m
Very good, well-kept condition. A fully equipped ship that has been regularly maintained.
- Propulsion: Volvo Penta D1-20, approx. 930h, 3-blade folding propeller (fixed prop included as a spare), bow thruster
- 3 cabin version. The two double berths in the stern can also be divided in such a way that a very large 2-berth berth and a large 1-berth berth (or luggage compartment) are created
- Sails: genoa, battened mainsail with lazy jacks and bag, spinnaker halyard and jib tarpaulin
- Comfort: Webasto heating, hot water, Neptun mattresses & slatted frames in the foredeck, sufficient mosquito screens, shower facility in the toilet
- Current instruments: Raymarine Axiom 9 plotter, Raymarine helm pilot, 2x Raymarine display P70i, Raymarine wind display. All instruments work in a network with the plotter. A P70i display is in the cockpit, the 2nd display below in the navigation corner also shows the most important data (all NMEA data such as wind, position, ETA, etc.) below. If desired, the Axiom plotter automatically connects to known port WLANs and provides its own hotspot. With Navionics the course can be planned and synchronized with the plotter on a mobile phone/tablet or alternatively the plotter can be remotely controlled below deck. ICOM M323G fixed radio with GPS and NL channel 31 (handheld radio is not part of the sale)
- Spray hood with bracket, tarpaulin for helm station, tarpaulin for cockpit, large winter tent
- New batteries 2020, new toilet 2020, bow thruster 2016, automatic steering and P70 2018, wind indicator 2017, Axiom plotter 2019.
- Underwater ship new 2021
- Complete instructions and documentation with invoices from the last few years, CE, VAT proof, etc.
NO CHARTER SHIP!
After taking over you can start sailing immediately, fenders, lines, almanac and paper charts for the Dutch Wadden Sea and IJsselmeer are included.
The berth in Marina Stavoren/NL has been paid for until April 2022 and can be taken over.
Selling due to enlargement
Tel. 0171/5583174Show more",2009,Bavaria,Cruiser 35,Segelyachten,10.71,diesel,GFK / fiberglas / polyester,,germany
